,id,title,year,budget,revenue
0,83,The Lovers,2015,35000000,53899
1,135,The Wolfman,2010,150000000,142634358
2,265,The Cat in the Hat,2003,109000000,133818283
3,309,Son of the Mask,2005,100000000,59918422
4,321,The Campaign,2012,95000000,104907746
5,359,Alvin and the Chipmunks: The Road Chip,2015,90000000,249517956
6,376,Volcano,1997,90000000,120100000
7,406,Arthur Christmas,2011,85000000,148947564
8,409,All That Jazz,1979,0,37823676
9,433,RED 2,2013,84000000,141507355
10,453,The Pink Panther,2006,0,10878107
11,463,Deja Vu,1998,0,6321997
12,467,Mighty Joe Young,1998,80000000,50632037
13,471,Little Nicky,2000,80000000,58270391
14,474,Evolution,2015,80000000,98341932
15,475,The Edge,1997,0,34099255
16,489,Oceans,2009,80000000,86787530
17,492,Top Cat Begins,2015,0,0
18,518,Inspector Gadget,1999,75000000,97387965
19,536,Anna and the King,1999,75000000,39251128
20,542,Carriers,2009,0,6825397
21,584,Wolf,1994,70000000,131011757
